article_number,name,law_type
5.21,"Несвоевременное перечисление средств избирательным комиссиям, комиссиям референдума, кандидатам, избирательным объединениям, инициативным группам по проведению референдума, иным группам участников референдума",КоАП РФ
5.22,"Незаконные выдача и получение избирательного бюллетеня, бюллетеня для голосования на референдуме",КоАП РФ
5.23,"Сокрытие остатков тиражей избирательных бюллетеней, бюллетеней для голосования на референдуме",КоАП РФ
5.24,"Нарушение установленного законом порядка подсчета голосов, определения результатов выборов, референдума, порядка составления протокола об итогах голосования с отметкой ""Повторный"" или ""Повторный подсчет голосов""",КоАП РФ
5.25,Непредоставление сведений об итогах голосования или о результатах выборов,КоАП РФ
5.26,"Нарушение законодательства о свободе совести, свободе вероисповедания и о религиозных объединениях",КоАП РФ
5.27,"Нарушение трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права",КоАП РФ
5.27.1,"Нарушение государственных нормативных требований охраны труда, содержащихся в федеральных законах и иных нормативных правовых актах Российской Федерации",КоАП РФ
5.28,"Уклонение от участия в переговорах о заключении коллективного договора, соглашения либо нарушение установленного срока их заключения",КоАП РФ
5.29,"Непредоставление информации, необходимой для проведения коллективных переговоров и осуществления контроля за соблюдением коллективного договора, соглашения",КоАП РФ
5.30,"Необоснованный отказ от заключения коллективного договора, соглашения",КоАП РФ
5.31,"Нарушение или невыполнение обязательств по коллективному договору, соглашению",КоАП РФ
5.32,Уклонение от получения требований работников и от участия в примирительных процедурах,КоАП РФ
5.33,Невыполнение соглашения,КоАП РФ
5.34,Увольнение работников в связи с коллективным трудовым спором и объявлением забастовки,КоАП РФ
5.35,Неисполнение родителями или иными законными представителями несовершеннолетних обязанностей по содержанию и воспитанию несовершеннолетних,КоАП РФ
5.35.1,Неуплата средств на содержание детей или нетрудоспособных родителей,КоАП РФ
5.36,"Нарушение порядка или сроков предоставления сведений о несовершеннолетних, нуждающихся в передаче на воспитание в семью либо в учреждения для детей-сирот или для детей, оставшихся без попечения родителей",КоАП РФ
5.37,"Незаконные действия по усыновлению (удочерению) ребенка, передаче его под опеку (попечительство) или в приемную семью",КоАП РФ
5.38,"Нарушение законодательства о собраниях, митингах, демонстрациях, шествиях и пикетировании",КоАП РФ
5.39,Отказ в предоставлении информации,КоАП РФ
5.40,Принуждение к участию или к отказу от участия в забастовке,КоАП РФ
5.41,"Непредоставление на безвозмездной основе услуг по погребению, невыплата социального пособия на погребение",КоАП РФ
5.42,Нарушение прав инвалидов в области трудоустройства и занятости,КоАП РФ
5.43,"Нарушение требований законодательства, предусматривающих выделение на автомобильных стоянках (остановках) мест для специальных автотранспортных средств инвалидов",КоАП РФ
5.44,Утратила силу с 1 января 2010 года. - Федеральный закон от 24.07.2009 N 213-,КоАП РФ
5.45,"Использование преимуществ должностного или служебного положения в период избирательной кампании, кампании референдума",КоАП РФ
5.46,"Подделка подписей избирателей, участников референдума",КоАП РФ
5.47,"Сбор подписей избирателей, участников референдума в запрещенных местах, а также сбор подписей лицами, которым участие в этом запрещено федеральным законом",КоАП РФ
5.48,"Нарушение прав зарегистрированных кандидатов, избирательных объединений, инициативных групп по проведению референдума, иных групп участников референдума при выделении площадей для размещения агитационных материалов",КоАП РФ
5.49,"Нарушение запрета на проведение в период избирательной кампании, кампании референдума лотерей и других основанных на риске игр, связанных с выборами и референдумом",КоАП РФ
5.50,"Нарушение правил перечисления средств, внесенных в избирательный фонд, фонд референдума",КоАП РФ
5.51,Утратила силу. - Федеральный закон от 09.03.2016 N 66-ФЗ.,КоАП РФ
5.52,"Невыполнение уполномоченным лицом требований законодательства о выборах об обеспечении кандидатам, избирательным объединениям равных условий для проведения агитационных публичных мероприятий",КоАП РФ
5.53,"Незаконные действия по получению и (или) распространению информации, составляющей кредитную историю",КоАП РФ
5.54,"Неисполнение обязанности по проведению проверки и (или) исправлению недостоверной информации, содержащейся в кредитной истории (кредитном отчете)",КоАП РФ
5.55,Непредоставление кредитного отчета,КоАП РФ
5.56,"Нарушение порядка и сроков представления и хранения документов, связанных с подготовкой и проведением выборов, референдума",КоАП РФ
5.57,Нарушение права на образование и предусмотренных законодательством об образовании прав и свобод обучающихся образовательных организаций,КоАП РФ
5.58,Нарушение установленного законодательством о выборах и референдумах порядка выдачи открепительного удостоверения и невыполнение требований о его изъятии. Нарушение порядка использования специального знака (марки). Использование заведомо поддельных открепительного удостоверения или специального знака (марки),КоАП РФ
5.59,Нарушение порядка рассмотрения обращений граждан,КоАП РФ
5.60,Утратила силу. - Федеральный закон от 28.07.2012 N 141-ФЗ.,КоАП РФ
5.61,Оскорбление,КоАП РФ
5.62,Дискриминация,КоАП РФ
5.63,Нарушение законодательства об организации предоставления государственных и муниципальных услуг,КоАП РФ
5.63.1,"Нарушение требований законодательства, предусматривающих выдачу специальных разрешений на движение по автомобильным дорогам тяжеловесного и (или) крупногабаритного транспортного средства",КоАП РФ
5.64,"Нарушение порядка или срока представления сведений о поступлении и расходовании средств политической партии, сводного финансового отчета политической партии",КоАП РФ
5.65,"Незаконное использование политической партией денежных средств и иного имущества при финансировании своей деятельности, не связанной с участием в выборах и референдумах",КоАП РФ
5.66,"Незаконное финансирование деятельности политических партий, не связанной с участием в выборах и референдумах",КоАП РФ
5.67,"Нарушение срока возврата жертвователю, перечисления (передачи) в доход Российской Федерации пожертвований политической партии",КоАП РФ
5.68,Нарушение установленных законодательством Российской Федерации о политических партиях требований об обязательном аудите,КоАП РФ
5.69,"Вмешательство в осуществление избирательной комиссией, комиссией референдума полномочий, установленных законодательством о выборах и референдумах, либо создание помех участию избирателей, участников референдума в голосовании",КоАП РФ
6.1,"Сокрытие источника заражения ВИЧ-инфекцией, венерической болезнью и контактов, создающих опасность заражения",КоАП РФ
6.1.1,Побои,КоАП РФ
6.2,Незаконное занятие народной медициной,КоАП РФ
6.3,Нарушение законодательства в области обеспечения санитарно- эпидемиологического благополучия населения,КоАП РФ
6.3.1,Нарушение законодательства Российской Федерации в области генно-,КоАП РФ
6.4,"Нарушение санитарно-эпидемиологических требований к эксплуатации жилых помещений и общественных помещений, зданий, сооружений и транспорта",КоАП РФ
6.5,Нарушение санитарно-эпидемиологических требований к питьевой воде,КоАП РФ
6.6,Нарушение санитарно-эпидемиологических требований к организации питания населения,КоАП РФ
6.7,"Нарушение санитарно-эпидемиологических требований к условиям отдыха и оздоровления детей, их воспитания и обучения",КоАП РФ
6.8,"Незаконный оборот наркотических средств, психотропных веществ или их аналогов и незаконные приобретение, хранение, перевозка растений, содержащих наркотические средства или психотропные вещества, либо их частей, содержащих наркотические средства или психотропные вещества",КоАП РФ
6.9,Потребление наркотических средств или психотропных веществ без назначения врача либо новых потенциально опасных психоактивных веществ,КоАП РФ
6.9.1,"Уклонение от прохождения диагностики, профилактических мероприятий, лечения от наркомании и (или) медицинской и (или) социальной реабилитации в связи с потреблением наркотических средств или психотропных веществ без назначения врача либо новых потенциально опасных психоактивных веществ",КоАП РФ
6.10,"Вовлечение несовершеннолетнего в употребление алкогольной и спиртосодержащей продукции, новых потенциально опасных психоактивных веществ или одурманивающих веществ",КоАП РФ
6.11,Занятие проституцией,КоАП РФ
6.12,"Получение дохода от занятия проституцией, если этот доход связан с занятием другого лица проституцией",КоАП РФ
6.13,"Пропаганда наркотических средств, психотропных веществ или их прекурсоров, растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры, и их частей, содержащих наркотические средства или психотропные вещества либо их прекурсоры, новых потенциально опасных психоактивных веществ",КоАП РФ
6.14,Утратила силу. - Федеральный закон от 18.07.2011 N 237-ФЗ.,КоАП РФ
6.15,"Нарушение правил оборота инструментов или оборудования, используемых для изготовления наркотических средств или психотропных веществ",КоАП РФ
6.16,"Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров либо хранения, учета, реализации, перевозки, приобретения, использования, ввоза, вывоза или уничтожения растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры, и их частей, содержащих наркотические средства или психотропные вещества либо их прекурсоры",КоАП РФ
6.16.1,"Незаконные приобретение, хранение, перевозка, производство, сбыт или пересылка прекурсоров наркотических средств или психотропных веществ, а также незаконные приобретение, хранение, перевозка, сбыт или пересылка растений, содержащих прекурсоры наркотических средств или психотропных веществ, либо их частей, содержащих прекурсоры наркотических средств или психотропных веществ",КоАП РФ
6.17,"Нарушение законодательства Российской Федерации о защите детей от информации, причиняющей вред их здоровью и (или) развитию",КоАП РФ
6.18,Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним,КоАП РФ
6.19,Создание юридическим лицом условий для торговли детьми и (или) эксплуатации детей,КоАП РФ
6.20,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов,КоАП РФ
6.21,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних,КоАП РФ
6.22,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях,КоАП РФ
6.23,Вовлечение несовершеннолетнего в процесс потребления табака,КоАП РФ
6.24,"Нарушение установленного федеральным законом запрета курения табака на отдельных территориях, в помещениях и на объектах",КоАП РФ
6.25,"Несоблюдение требований к знаку о запрете курения, к выделению и оснащению специальных мест для курения табака либо неисполнение обязанностей по",КоАП РФ
6.26,"Организация публичного исполнения произведения литературы, искусства или народного творчества, содержащего нецензурную брань, посредством проведения театрально- зрелищного, культурно-просветительного или зрелищно-развлекательного мероприятия",КоАП РФ
6.27,"Распространение экземпляров аудиовизуальной продукции и фонограмм на любых видах носителей, экземпляров печатной продукции, содержащих нецензурную брань, без специальной упаковки и текстового предупреждения",КоАП РФ
6.28,Нарушение установленных правил в сфере обращения медицинских изделий,КоАП РФ
6.29,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности,КоАП РФ
6.30,Невыполнение обязанностей об информировании граждан о получении медицинской помощи в рамках программы государственных гарантий бесплатного оказания гражданам медицинской помощи и территориальных программ государственных гарантий бесплатного оказания гражданам медицинской помощи,КоАП РФ
6.31,Нарушение законодательства о донорстве крови и ее компонентов,КоАП РФ
6.32,Нарушение требований законодательства в сфере охраны здоровья при проведении искусственного прерывания беременности,КоАП РФ
6.33,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и оборот фальсифицированных биологически активных добавок",КоАП РФ
6.35,Несоблюдение санитарно-эпидемиологических требований при обращении с отходами производства и потребления,КоАП РФ
6.36,Воспрепятствование оказанию медицинской помощи,КоАП РФ
7.1,Самовольное занятие земельного участка,КоАП РФ
7.2,Уничтожение или повреждение специальных знаков,КоАП РФ
7.3,"Пользование недрами без лицензии на пользование недрами либо с нарушением условий, предусмотренных лицензией на пользование недрами, и (или) требований утвержденных в установленном порядке технических проектов",КоАП РФ
7.4,Самовольная застройка площадей залегания полезных ископаемых,КоАП РФ
7.5,"Самовольная добыча янтаря, нефрита или иных полудрагоценных камней",КоАП РФ
7.6,Самовольное занятие водного объекта или пользование им с нарушением установленных условий,КоАП РФ
7.7,"Повреждение объектов и систем водоснабжения, водоотведения, гидротехнических сооружений, устройств и установок водохозяйственного и водоохранного назначения",КоАП РФ
7.8,Утратила силу. - Федеральный закон от 28.12.2009 N 380-ФЗ.,КоАП РФ
7.9,Самовольное занятие лесных участков,КоАП РФ
7.10,"Самовольная уступка права пользования землей, недрами, лесным участком или водным объектом",КоАП РФ
7.11,Пользование объектами животного мира и водными биологическими ресурсами без разрешения,КоАП РФ
7.12,"Нарушение авторских и смежных прав, изобретательских и патентных прав",КоАП РФ
7.13,Нарушение требований законодательства об охране объектов культурного наследия (памятников истории и культуры) народов Российской Федерации,КоАП РФ
7.14,"Организация или проведение земляных, строительных или иных работ без разрешения органа, осуществляющего государственный надзор за состоянием, содержанием, сохранением, использованием, популяризацией и государственной охраной объектов культурного наследия",КоАП РФ
7.14.1,"Уничтожение или повреждение объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, объектов, составляющих предмет охраны исторического поселения",КоАП РФ
7.14.2,"Неисполнение обязанности по приостановлению работ в случае обнаружения объекта, обладающего признаками объекта культурного наследия, или работ, проведение которых может ухудшить состояние объекта культурного наследия либо нарушить его целостность и сохранность",КоАП РФ
7.15,Проведение археологических полевых работ без разрешения,КоАП РФ
7.15.1,Незаконный оборот археологических предметов,КоАП РФ
7.16,"Незаконное изменение правового режима земельных участков, отнесенных к землям историко-культурного назначения",КоАП РФ
7.17,Уничтожение или повреждение чужого имущества,КоАП РФ
7.18,"Нарушение правил хранения, закупки или рационального использования зерна и продуктов его переработки, правил производства продуктов переработки зерна",КоАП РФ
7.19,"Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",КоАП РФ
7.20,Самовольное подключение к централизованным системам водоснабжения и водоотведения,КоАП РФ
7.21,Нарушение правил пользования жилыми помещениями,КоАП РФ
7.22,Нарушение правил содержания и ремонта жилых домов и (или) жилых помещений,КоАП РФ
7.23,Нарушение нормативов обеспечения населения коммунальными услугами,КоАП РФ
7.23.1,Утратила силу с 1 мая 2015 года. - Федеральный закон от 21.07.2014 N 263-,КоАП РФ
7.23.2,Нарушение требований законодательства о передаче технической документации на многоквартирный дом и иных связанных с управлением таким многоквартирным домом документов,КоАП РФ
7.23.3,Нарушение правил осуществления предпринимательской деятельности по управлению многоквартирными домами,КоАП РФ
7.24,"Нарушение порядка распоряжения объектом нежилого фонда, находящимся в федеральной собственности, и использования указанного объекта",КоАП РФ
7.25,Уклонение от безвозмездной передачи копий геодезических или картографических материалов и данных в государственный картографо-геодезический фонд Российской Федерации,КоАП РФ
7.26,Утрата материалов и данных государственного картографо-геодезического фонда Российской Федерации,КоАП РФ
7.27,Мелкое хищение,КоАП РФ
7.27.1,Причинение имущественного ущерба путем обмана или злоупотребления доверием,КоАП РФ
7.28,Нарушение установленного порядка патентования объектов промышленной собственности в иностранных государствах,КоАП РФ
7.29,"Несоблюдение требований законодательства Российской Федерации о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд при принятии решения о способе и об условиях определения поставщика (подрядчика, исполнителя)",КоАП РФ
7.29.1,Нарушение порядка определения начальной (максимальной) цены государственного контракта по государственному оборонному заказу или цены государственного контракта при размещении государственного оборонного заказа,КоАП РФ
7.29.2,"Отказ или уклонение поставщика (исполнителя, подрядчика) от заключения государственного контракта по государственному оборонному заказу, договора, необходимого для выполнения государственного оборонного заказа",КоАП РФ
7.29.3,Нарушение законодательства Российской Федерации о контрактной системе в сфере закупок при планировании закупок,КоАП РФ
7.30,"Нарушение порядка осуществления закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд",КоАП РФ
7.31,"Нарушение порядка ведения реестра контрактов, заключенных заказчиками, реестра контрактов, содержащего сведения, составляющие государственную тайну, реестра недобросовестных поставщиков (подрядчиков, исполнителей)",КоАП РФ
